"","Gene","Correlation","P_value","SYMBOL","fdr"
"6308","105371076",-0.0725644581505909,0.406510642278762,"LOC105371076",0.570146652089453
"6309","105371079",-0.0449773050139791,0.607204718869484,"LOC105371079",0.742567116363109
"6310","105371080",0.0338731246842279,0.698706159162944,NA,0.812681590304026
"6311","105371081",-0.0999926559296758,0.252143313863629,"LOC105371081",0.412006010036381
"6312","105371082",-0.0665542963367874,0.446572905077634,"LOC105371082",0.608497564655161
"6313","105371083",-0.0139118168269351,0.873722339162023,"LOC105371083",0.927962645821514
"6314","105371084",-0.296344493400648,0.000533223102644886,"RSL1D1-DT",0.00245481049587529
"6315","105371085",0.026007804723611,0.76634764786288,"LOC105371085",0.858209971038662
"6316","105371087",0.0551970574266332,0.528016924522852,"LOC105371087",0.678273958757107
"6317","105371088",-0.0636100948283063,0.466981021344317,"LOC105371088",0.626589622641937
"6318","105371090",-0.0782335564436058,0.370739124479041,"LOC105371090",0.536964412491265
"6319","105371094",0.035706814127724,0.683248582099699,"LOC105371094",0.801308407488154
"6320","105371095",0.119986302872603,0.16892596113964,NA,0.308234449377178
"6321","105371096",-0.0487542453199283,0.577332343773271,"LOC105371096",0.719787590815468
"6322","105371098",0.0703867347237499,0.420775662290387,NA,0.584087232500556
"6323","105371099",-0.133663452647218,0.125073296183188,"LOC105371099",0.247091116501805
"6324","105371100",0.0220492171890537,0.801107291222361,"LOC105371100",0.881914912934743
"6325","105371102",0.139869440539488,0.108333139652188,"LOC105371102",0.222023338997895
"6326","105371103",0.262219254041607,0.00229564249300186,NA,0.00871870818991634
"6327","105371106",-0.420124934430422,4.79501888203857e-07,"LOC105371106",5.7477818529599e-06
"6328","105371108",-0.0487542453199283,0.577332343773271,"LOC105371108",0.719787590815468
"6329","105371114",0,1,"LOC105371114",1
"6330","105371115",0.158338706786241,0.0687109899147044,"IQCK-AS1",0.155316442706023
"6331","105371121",-0.157012442554024,0.0710941897840496,"LOC105371121",0.159723469066266
"6332","105371123",0.215473219530794,0.0127443812326191,"LOC105371123",0.0383859651297891
"6333","105371125",0.137623629721052,0.114176090975067,"LOC105371125",0.230929205903088
"6334","105371126",-0.000547492528926444,0.995009749929715,"LOC105371126",0.99892639946314
"6335","105371129",0.161093314965595,0.0639684246131025,"LOC105371129",0.146550695630982
"6336","105371130",0.183540536265031,0.034454531589362,"MFSD13B",0.0884122319771602
"6337","105371131",-0.086852205001769,0.320196761267956,"LOC105371131",0.487037517964967
"6338","105371141",-0.0693664615452254,0.42755757500215,NA,0.590400189778488
"6339","105371147",-0.121318703470519,0.164209492156294,"LOC105371147",0.301459442804705
"6340","105371155",-0.154879079757696,0.0750678349337263,"LOC105371155",0.166936547909054
"6341","105371157",-0.00601890785686209,0.94518158911765,"LOC105371157",0.968132244942379
"6342","105371159",0.248634116039379,0.00390442795738888,"LOC105371159",0.0138365982637009
"6343","105371167",-0.0908777359180144,0.298193747110583,"LOC105371167",0.463630099845182
"6344","105371168",0.249148885369858,0.00382856480808498,"LOC105371168",0.0136099383271004
"6345","105371172",0.0452320093065493,0.605168912021981,"LOC105371172",0.740843192684785
"6346","105371175",0.207941902226872,0.016315454937009,"LOC105371175",0.0473732571934031
"6347","105371177",0.0555571632715462,0.525324505511161,"LOC105371177",0.675680365872989
"6348","105371184",-0.112646761644557,0.196718864573363,"STUB1-DT",0.34411789985198
"6349","105371191",0.030441448335288,0.727964344843814,"LOC105371191",0.831414677242155
"6350","105371195",0.0952408513226506,0.275499945976001,NA,0.43728642868401
"6351","105371196",0.162077997871695,0.0623393535022084,NA,0.143536361438835
"6352","105371197",-0.00793673761022088,0.927756119445954,"LOC105371197",0.958336404023617
"6353","105371200",-0.116783424836107,0.180673378882554,"LOC105371200",0.32268942847608
"6354","105371204",0.25551209069123,0.00299423170791371,"LOC105371204",0.0109831559362304
"6355","105371206",0.228187310363258,0.00824932376577859,"LOC105371206",0.0263491661651192
"6356","105371207",-0.00986590594480361,0.910262130090121,"LOC105371207",0.94877745328399
"6357","105371209",-0.171479590155359,0.0484299975677462,"LOC105371209",0.117241754765983
"6358","105371211",0.0471552498670843,0.589895470026686,"LOC105371211",0.730417016652798
"6359","105371214",-0.150462783506279,0.0838632242032922,NA,0.182631793870894
"6360","105371215",0.0379369000822267,0.664625434579924,"LOC105371215",0.788221944734126
"6361","105371216",0.21893340861559,0.0113471040329511,"LOC105371216",0.034774432139433
"6362","105371217",-0.0486228868992259,0.578359700796153,"LOC105371217",0.720607802773186
"6363","105371219",0.118227134053893,0.17530602665464,NA,0.315687954581862
"6364","105371223",0.125912108446383,0.148700582617332,"LOC105371223",0.279877186492976
"6365","105371224",0.42532458066972,3.33868433094985e-07,"LOC105371224",4.23803283602501e-06
"6366","105371225",0.0699657353498776,0.423566513128935,"LOC105371225",0.586535204507652
"6367","105371226",0.0597737432768946,0.494323225099581,"LINC01731",0.650723819883342
"6368","105371227",-0.0696224517622621,0.425850081185436,"LOC105371227",0.588630728802448
"6369","105371228",0.231451371048827,0.00735054438504454,NA,0.0238889090012289
"6370","105371229",0.0858435039266605,0.32587051785397,"LOC105371229",0.49292495826428
"6371","105371231",0.0112460279464334,0.897772818522691,NA,0.940466488936723
"6372","105371233",0.0839026547366208,0.336968014565406,"LOC105371233",0.50394729323097
"6373","105371235",0.084929247482837,0.331068513229481,"LOC105371235",0.498678340207008
"6374","105371236",-0.135296782080966,0.12048556267676,"LOC105371236",0.240349035000407
"6375","105371238",0,1,"LINC02134",1
"6376","105371240",0.281735638747722,0.0010188269802474,"LOC105371240",0.00431916984491531
"6377","105371241",0.119051064153313,0.172296057196452,"LOC105371241",0.311553668870286
"6378","105371242",0.37842947451217,7.08048504652914e-06,"PPIAL4H",5.76665591261902e-05
"6379","105371245",-0.077677951847111,0.374157041684052,NA,0.540126059385856
"6380","105371248",-0.0705645862933463,0.419599878622931,"LINC02178",0.582937986961048
"6381","105371251",0.18604646978093,0.0320252182756804,"CYLD-AS2",0.0833363635008926
"6382","105371252",0.0665261074950134,0.44676588978625,"LINC02168",0.608685480019432
"6383","105371253",0.133322108602501,0.126048859538079,"LOC105371253",0.248633231414393
"6384","105371254",0.0900610279973366,0.302575020224989,"LOC105371254",0.468399354308513
"6385","105371256",0.227435893864097,0.00846950673928307,"LOC105371256",0.0269366873331098
"6386","105371257",0.0631839306399855,0.469976812377737,"LOC105371257",0.628607494904846
"6387","105371260",-0.608355259310232,8.04249859689759e-15,"LIX1L-AS1",4.10241666890364e-12
"6388","105371267",0.396101638976191,2.36480170328132e-06,"CHD9NB",2.23101397370063e-05
