"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"CCP110",114.747136836856,-0.370313771322453,0.220541389911833,-1.67911234925333,0.0931301499005025,0.146237232370107,"CCP110"
"ZC4H2",38.6402495271611,-0.370338007749903,0.369200676949026,-1.00308052198137,0.315822011797008,0.406692721291529,"ZC4H2"
"ARRDC2",67.4530342305139,-0.370397557093538,0.304447422302099,-1.21662241149146,0.223747911706425,0.306212031921652,"ARRDC2"
"COMMD2",262.108582002096,-0.370504657265187,0.180000256744092,-2.05835627107986,0.03955594617844,0.0698689620801062,"COMMD2"
"ARCN1",5521.55780708677,-0.37064255594767,0.155284408832251,-2.38686265243836,0.0169928384068085,0.0334290495868448,"ARCN1"
"USP45",62.9984867710406,-0.370697481210332,0.303140661005938,-1.22285634655613,0.221383958923967,0.303538168865761,"USP45"
"MEAF6",329.191374461377,-0.370915884089005,0.228251677701947,-1.62503026406382,0.104156110427112,0.160966196336616,"MEAF6"
"RPS5",2247.53429859446,-0.370932750253766,0.258807056719807,-1.43324048020588,0.151789124926878,0.2209928199389,"RPS5"
"BICD2",570.557317049503,-0.37113880982196,0.20720220497521,-1.79119141066266,0.07326258409197,0.119119499631547,"BICD2"
"APTX",147.296071489838,-0.371230767225226,0.253359412750779,-1.46523376887676,0.14285714935068,0.210089966585035,"APTX"
"GTF2H2",130.765487472985,-0.371418581145678,0.215157978100669,-1.72625985996158,0.0843006732573476,0.134190720731876,"GTF2H2"
"CHST7",158.6618602263,-0.371627408336859,0.462972851906811,-0.802698056281844,0.422149276669203,0.515607829578015,"CHST7"
"SERTAD1",201.17920812074,-0.372479527528711,0.217160714749094,-1.71522518683488,0.0863039487715806,0.136909495719509,"SERTAD1"
"PDHA1",457.533005797136,-0.372546215487983,0.167353712632125,-2.22610069193331,0.0260074376131048,0.0486129765627662,"PDHA1"
"ZNF419",19.6631867944026,-0.372927065713086,1.16483256188098,-0.320155083157086,0.748850770969642,0.806246999232854,"ZNF419"
"SLC12A9",219.665821356975,-0.373024594043652,0.303115388669868,-1.23063561926222,0.218459177010192,0.299953052299395,"SLC12A9"
"TCERG1",85.5971956594471,-0.373289247759242,0.252209640840201,-1.48007525214215,0.138853165200049,0.204899672518474,"TCERG1"
